feature,importance
ema_spread_long,0.0834238852390448
ema_short,0.06415272993008435
momentum_5,0.062167423029813616
ema_long,0.061916494927055685
volume_avg,0.05888389998341362
ema_medium,0.05683334979818441
macd_hist,0.05243133166849834
bb_middle,0.04838697156443473
macd,0.048268685414917856
momentum_10,0.048004687902093786
bb_upper,0.04762956297404787
bb_lower,0.04680587652032725
macd_signal,0.04495794609404633
returns,0.039064075341235543
ema_spread_short,0.039027090219357546
atr,0.03789636521971606
momentum_20,0.031444504014389786
volatility_10,0.029377914654889543
adx,0.028741460935720484
volatility_20,0.02617999112259445
rsi,0.016678554441718074
volume_ratio,0.013243359057436552
volume_change,0.007922142355790873
high_low_ratio,0.006561697591188456
