ticker,return_pct,final_capital,trades,win_rate,avg_win,avg_loss,max_win,max_loss
SBER,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
HYDR,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
CHMF,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
TATN,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
NVTK,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
PHOR,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
AFKS,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
FIVE,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
MGNT,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
RTKM,2.6014002464477675,102601.40024644777,20,45.0,980.8924240665807,-566.0574154683143,1293.9661796719065,-797.3269493491957
FEES,2.5973680147640406,102597.36801476404,19,47.368421052631575,849.0790881591371,-504.434377866819,951.7496671142673,-640.4467442952324
MTSS,2.1332466542089388,102133.24665420894,20,45.0,920.4855580482173,-559.1930334750025,1103.1879993714879,-735.0680163697863
GAZP,1.4707679436916077,101470.76794369161,19,42.10526315789473,1046.7146916336787,-627.5408717616202,1159.311988945468,-721.8792603962719
LKOH,1.4707679436916077,101470.76794369161,19,42.10526315789473,1046.7146916336787,-627.5408717616202,1159.311988945468,-721.8792603962719
ROSN,1.4707679436916077,101470.76794369161,19,42.10526315789473,1046.7146916336787,-627.5408717616202,1159.311988945468,-721.8792603962719
NLMK,1.4707679436916077,101470.76794369161,19,42.10526315789473,1046.7146916336787,-627.5408717616202,1159.311988945468,-721.8792603962719
VTBR,0.976222109573413,100976.22210957341,19,42.10526315789473,947.7544375705279,-600.5284900900714,1058.316418752871,-820.9741735366126
YNDX,0.46760967780923235,100467.60967780923,19,36.84210526315789,1368.912792046995,-759.5649888766465,1599.0947459691288,-907.3072091585921
VKCO,0.46760967780923235,100467.60967780923,19,36.84210526315789,1368.912792046995,-759.5649888766465,1599.0947459691288,-907.3072091585921
MAGN,0.29823646330984777,100298.23646330985,18,38.88888888888889,1076.661907891191,-658.0360810844109,1240.8098500660412,-828.7788149588887
GMKN,0.29823646330984777,100298.23646330985,18,38.88888888888889,1076.661907891191,-658.0360810844109,1240.8098500660412,-828.7788149588887
