ticker,volatility,return_pct,final_capital,trades,win_rate,avg_win,avg_loss,profit_factor
OZON,4.0,10.579216975115239,110579.21697511524,24,45.83333333333333,2399.653636038995,-1216.6902324087496,1.6688521856147478
SBER,1.7999999999999998,7.810509299152807,107810.5092991528,66,40.909090909090914,1384.5198533847545,-758.2442754419366,1.2641226260393745
FIXP,3.5000000000000004,7.376919127021218,107376.91912702122,25,44.0,2111.3424580715478,-1131.9891365546994,1.4654839677975737
VKCO,3.0,7.097385464151711,107097.38546415171,35,42.857142857142854,1867.2616590335158,-1045.57697106755,1.3394004296453277
RUAL,3.0,7.097385464151711,107097.38546415171,35,42.857142857142854,1867.2616590335158,-1045.57697106755,1.3394004296453277
YNDX,3.0,7.097385464151711,107097.38546415171,35,42.857142857142854,1867.2616590335158,-1045.57697106755,1.3394004296453277
NVTK,2.5,5.290949073433701,105290.9490734337,45,37.77777777777778,1674.1304892608975,-858.1210831111688,1.2283606365705086
PHOR,2.5,5.290949073433701,105290.9490734337,45,37.77777777777778,1674.1304892608975,-858.1210831111688,1.2283606365705086
PLZL,3.2,4.85303818390936,104853.03818390936,33,39.39393939393939,2032.9471018272254,-1078.7637069922282,1.22493518054294
AFKS,2.8000000000000003,3.7233045069206416,103723.30450692064,38,36.84210526315789,1819.1115915226658,-945.4025119302903,1.1712316210353588
SNGS,2.8000000000000003,3.7233045069206416,103723.30450692064,38,36.84210526315789,1819.1115915226658,-945.4025119302903,1.1712316210353588
GMKN,2.8000000000000003,3.7233045069206416,103723.30450692064,38,36.84210526315789,1819.1115915226658,-945.4025119302903,1.1712316210353588
TATN,2.1999999999999997,-0.6527257218080631,99347.27427819194,53,35.84905660377358,1442.339459115236,-825.2110424999271,0.9767358719665983
VTBR,2.1999999999999997,-0.6527257218080631,99347.27427819194,53,35.84905660377358,1442.339459115236,-825.2110424999271,0.9767358719665983
MGNT,2.0,-1.6661396683173808,98333.86033168262,66,34.84848484848485,1403.5389762430796,-789.4775842304249,0.9509201592028889
FIVE,2.0,-1.6661396683173808,98333.86033168262,66,34.84848484848485,1403.5389762430796,-789.4775842304249,0.9509201592028889
